Date,Open,High,Low
2015-03-18,285.066986,285.335999,249.869995
2015-03-19,255.880005,264.243988,248.636002
2015-03-20,260.955994,264.847992,259.161987
2015-03-21,261.644012,262.196014,255.649994
2015-03-22,259.916992,269.747009,259.589996
2015-03-23,267.894989,277.296997,261.744995
2015-03-24,266.576996,267.002991,244.154999
2015-03-25,247.472000,249.190002,236.514999
2015-03-26,246.276001,254.354004,244.904999
2015-03-27,248.565994,256.811005,245.212997
2015-03-28,246.975006,254.205002,246.975006
2015-03-29,252.740005,253.139008,240.850006
2015-03-30,242.878998,249.242004,239.214005
2015-03-31,247.453995,248.729996,242.738998
2015-04-01,244.223007,247.541000,241.160004
2015-04-02,247.089005,254.460999,245.416000
2015-04-03,253.074005,256.042999,251.878998
2015-04-04,254.291000,255.257996,251.100006
2015-04-05,253.761002,260.674988,251.942001
2015-04-06,260.721008,261.798004,254.574997
2015-04-07,255.274002,255.804993,252.205002
2015-04-08,253.063995,253.847000,244.214996
2015-04-09,244.751007,246.117996,239.399994
2015-04-10,243.694000,243.694000,232.770996
2015-04-11,236.016006,239.537003,234.175003
2015-04-12,236.535004,237.727997,233.494995
2015-04-13,235.949997,236.934998,221.996002
2015-04-14,224.759003,224.975998,216.322998
2015-04-15,219.072998,223.832993,218.649002
2015-04-16,223.917007,229.671997,223.917007
2015-04-17,228.574997,228.906006,221.942001
2015-04-18,222.852997,224.315994,220.876007
2015-04-19,223.455994,226.352997,222.373001
2015-04-20,222.612000,226.350998,221.977005
2015-04-21,224.619995,235.268997,224.300995
2015-04-22,235.602005,237.908997,233.475998
2015-04-23,234.052994,236.475006,233.199005
2015-04-24,235.970001,236.304993,229.932999
2015-04-25,231.235001,232.561005,226.337006
2015-04-26,226.410004,226.944000,214.873993
2015-04-27,219.429001,233.304993,218.022995
2015-04-28,228.968994,229.494995,223.069000
2015-04-29,225.591003,227.039993,223.429993
2015-04-30,225.692993,239.563004,224.992996
2015-05-01,235.938995,238.966003,232.078995
2015-05-02,232.341003,235.727005,232.341003
2015-05-03,234.880005,243.240005,234.082993
2015-05-04,240.356003,242.638000,237.809998
2015-05-05,238.852005,239.203995,232.054001
2015-05-06,236.248993,236.453995,229.231003
2015-05-07,229.662003,239.104996,228.572998
2015-05-08,237.203995,246.274994,236.274002
2015-05-09,243.768997,247.804001,239.639008
2015-05-10,241.729004,244.067993,238.848999
2015-05-11,240.298996,244.270004,239.376007
2015-05-12,242.145004,242.880997,240.098999
2015-05-13,241.397995,243.703995,235.044998
2015-05-14,236.214005,237.798996,234.057007
2015-05-15,236.955002,238.753006,236.794998
2015-05-16,237.643997,237.697006,235.294998
2015-05-17,236.009995,238.024994,236.009995
2015-05-18,236.886993,237.210007,232.460007
2015-05-19,233.037003,234.151001,231.817001
2015-05-20,231.889999,234.682999,231.841995
2015-05-21,234.016006,236.242004,233.835007
2015-05-22,235.320999,240.968994,235.059998
2015-05-23,240.285995,241.024994,238.690994
2015-05-24,238.975998,241.977997,238.811005
2015-05-25,240.927002,241.020996,236.636993
2015-05-26,237.104004,238.242004,235.692001
2015-05-27,237.065002,238.636002,236.695007
2015-05-28,237.257004,237.824005,236.651993
2015-05-29,237.376999,237.522003,235.731003
2015-05-30,237.091995,237.093002,232.046005
2015-05-31,233.134995,233.251999,229.542007
2015-06-01,230.233002,231.712997,221.296005
2015-06-02,222.893997,226.416000,222.419006
2015-06-03,225.735992,227.404007,223.929993
2015-06-04,225.772003,226.580994,224.054001
2015-06-05,224.154007,225.968002,223.179001
2015-06-06,225.005005,225.718994,224.378998
2015-06-07,225.595993,226.194000,222.651993
2015-06-08,222.878998,229.464005,222.839005
2015-06-09,228.537994,230.953995,227.929001
2015-06-10,228.994995,229.781998,228.009995
2015-06-11,228.854996,230.287003,228.766998
2015-06-12,229.705002,231.057007,229.313004
2015-06-13,229.919998,232.651993,229.210007
2015-06-14,232.442001,234.858002,232.003998
2015-06-15,233.421997,237.835999,233.421997
2015-06-16,236.764999,251.742004,236.121994
2015-06-17,250.822998,256.852997,246.475998
2015-06-18,249.427994,252.108002,244.126999
2015-06-19,249.042999,250.977005,243.787003
2015-06-20,244.529999,245.828003,240.626999
2015-06-21,245.100006,245.223999,241.882004
2015-06-22,243.968994,247.917007,243.779007
2015-06-23,246.927002,247.304001,243.132996
2015-06-24,244.281998,244.341003,240.514999
2015-06-25,240.365005,243.332001,240.365005
2015-06-26,242.604004,243.748993,241.552994
2015-06-27,243.548996,251.339005,243.117004
2015-06-28,250.955002,251.171997,247.434006
2015-06-29,248.720993,257.173004,248.580994
2015-06-30,257.036011,267.867004,255.945999
